epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,221.565,1.63381,2.38456,2.03858,1.82382,0,0.12993,0.17016,0.05794,0.02107,0.13276,0.16646,0.05041,0.02013,2.32595,3.86971,2.64702,2.73932,0,0.000665272,0.000665272,0.000665272
2,421.911,2.13024,2.94203,2.29494,2.25346,0,0.17182,0.15783,0.07551,0.02696,0.14726,0.1344,0.05751,0.02244,2.17658,3.24059,3.39945,2.49093,0,0.00133186,0.00133186,0.00133186
3,617.615,1.98472,2.82028,2.20276,2.14796,0,0.20352,0.16646,0.1011,0.04554,0.22548,0.14303,0.08833,0.04797,1.97755,2.92881,2.55875,2.32591,0,0.00199812,0.00199812,0.00199812
4,814.991,1.91171,2.79767,2.11945,2.12001,0,0.18573,0.22318,0.12661,0.06237,0.212,0.19975,0.11385,0.05917,1.86916,2.91012,3.42053,2.16281,0,0.0019989,0.0019989,0.0019989
