epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5591.85,1.02437,1.71254,1.13773,1.35098,0,0.62112,0.54131,0.58009,0.40929,0.62247,0.45993,0.50167,0.34555,0.97095,1.67738,0.98998,1.31832,0,0.00191229,0.00191229,0.00191229
29,5788.58,0.99122,1.67175,1.10362,1.31863,0,0.60677,0.51048,0.57036,0.40916,0.60644,0.45869,0.50305,0.34706,0.96172,1.56394,0.99276,1.31253,0,0.00190578,0.00190578,0.00190578
30,5989.14,0.99522,1.65984,1.07591,1.32373,0,0.57677,0.49445,0.53177,0.37345,0.55151,0.4254,0.46442,0.31552,0.99489,1.61759,1.02681,1.34723,0,0.00189905,0.00189905,0.00189905
31,6184.02,0.98399,1.67723,1.06934,1.31984,0,0.58569,0.53391,0.57201,0.41296,0.54203,0.49445,0.50373,0.35354,0.94599,1.55183,0.96021,1.29566,0,0.0018921,0.0018921,0.0018921
32,6381.29,0.97338,1.67753,1.05942,1.31606,0,0.63343,0.54007,0.58794,0.42222,0.62013,0.47965,0.51993,0.35944,0.93416,1.49081,0.99046,1.30338,0,0.00188493,0.00188493,0.00188493
33,6573.22,0.97686,1.61628,1.05687,1.30585,0,0.68039,0.50661,0.5924,0.43024,0.66566,0.48335,0.53632,0.36527,0.92942,1.50544,0.94813,1.27522,0,0.00187754,0.00187754,0.00187754
34,6765.73,0.96343,1.57778,1.05245,1.29563,0,0.64556,0.52551,0.58858,0.42958,0.61142,0.49692,0.52469,0.37236,0.92435,1.49296,0.9328,1.29884,0,0.00186995,0.00186995,0.00186995
35,6959.57,0.93706,1.59421,1.0158,1.27336,0,0.6158,0.54007,0.60253,0.43832,0.64157,0.47472,0.53111,0.367,0.90773,1.51989,0.91789,1.28164,0,0.00186213,0.00186213,0.00186213
36,7156.51,0.91249,1.57093,1.00258,1.26343,0,0.64665,0.56597,0.6099,0.4467,0.65339,0.52066,0.55573,0.38377,0.86391,1.51945,0.90268,1.24604,0,0.00185411,0.00185411,0.00185411
37,7353.29,0.90643,1.52392,0.99964,1.25338,0,0.6149,0.56473,0.59986,0.4362,0.61439,0.50801,0.5322,0.3726,0.91433,1.50613,0.91451,1.2934,0,0.00184588,0.00184588,0.00184588
